iter	Passed	Remaining
816	136523	30580
817	136674	30409
818	136820	30237
819	136964	30065
820	137153	29903
821	137305	29732
822	137454	29561
823	137605	29391
824	137750	29219
825	137898	29048
826	138094	28887
827	138236	28715
828	138400	28548
829	138542	28376
830	138685	28204
831	138875	28042
832	139021	27871
833	139170	27700
834	139331	27532
835	139474	27360
836	139613	27188
837	139794	27024
838	139939	26853
839	140109	26687
840	140261	26517
841	140405	26346
842	140543	26174
843	140730	26011
844	140883	25842
845	141038	25673
846	141182	25502
847	141324	25331
848	141503	25167
849	141652	24997
850	141801	24827
851	141964	24660
852	142111	24490
853	142251	24319
854	142437	24156
855	142586	23986
856	142736	23817
857	142885	23647
858	143028	23477
859	143172	23307
860	143358	23143
861	143508	22974
862	143668	22807
863	143820	22638
864	143966	22468
865	144107	22298
866	144278	22132
867	144451	21967
868	144605	21798
869	144752	21629
870	144898	21460
871	145049	21291
872	145248	21130
873	145399	20961
874	145554	20793
875	145713	20626
876	145858	20456
877	146006	20287
878	146198	20125
879	146347	19956
880	146507	19789
881	146655	19620
882	146803	19451
883	146949	19282
884	147142	19120
885	147286	18951
886	147448	18784
887	147591	18615
888	147740	18446
889	147924	18282
890	148077	18114
891	148230	17947
892	148385	17779
893	148532	17611
894	148671	17441
895	148826	17274
896	149016	17111
897	149160	16942
898	149318	16775
899	149461	16606
900	149611	16438
901	149816	16277
902	149975	16110
903	150128	15942
904	150279	15775
905	150429	15607
906	150567	15438
907	150757	15275
908	150908	15107
909	151066	14940
910	151220	14773
911	151362	14605
912	151503	14436
913	151671	14271
914	151840	14105
915	151982	13937
916	152144	13770
917	152293	13603
918	152444	13436
919	152590	13268
920	152777	13104
921	152940	12938
922	153089	12771
923	153237	12603
924	153378	12436
925	153569	12272
926	153707	12104
927	153868	11938
928	154024	11771
929	154164	11603
930	154304	11436
931	154503	11272
932	154647	11105
933	154791	10938
934	154955	10772
935	155099	10605
936	155243	10437
937	155447	10274
938	155595	10107
939	155751	9941
940	155910	9775
941	156061	9608
942	156212	9442
943	156379	9276
944	156568	9112
945	156730	8946
946	156895	8780
947	157053	8614
948	157207	8448
949	157359	8282
950	157557	8118
951	157702	7951
952	157868	7785
953	158018	7619
954	158172	7453
955	158321	7286
956	158522	7122
957	158672	6956
958	158825	6790
959	158981	6624
960	159140	6458
961	159289	6292
962	159481	6127
963	159628	5961
964	159792	5795
965	159960	5630
966	160113	5464
967	160265	5298
968	160433	5132
969	160600	4967
970	160751	4801
971	160916	4635
972	161070	4469
973	161218	4303
974	161372	4137
975	161563	3972
976	161717	3807
977	161867	3641
978	162028	3475
979	162181	3309
980	162336	3144
981	162516	2978
982	162694	2813
983	162850	2647
984	163015	2482
